YrSold,MoSold,ExterQual,KitchenQual,OverallQual,FireplaceQu,BsmtQual,BsmtFinSF1,GrLivArea,GarageArea,LotArea
2008,2,Gd,Gd,7,,Gd,706,1710,548,8450
2007,5,TA,TA,6,TA,Gd,978,1262,460,9600
2008,9,Gd,Gd,7,TA,Gd,486,1786,608,11250
2006,2,TA,Gd,7,Gd,TA,216,1717,642,9550
2008,12,Gd,Gd,8,TA,Gd,655,2198,836,14260
2009,10,TA,TA,5,,Gd,732,1362,480,14115
2007,8,Gd,Gd,8,Gd,Ex,1369,1694,636,10084
2009,11,TA,TA,7,TA,Gd,859,2090,484,10382
2008,4,TA,TA,7,TA,TA,0,1774,468,6120
2008,1,TA,TA,5,TA,TA,851,1077,205,7420
2008,2,TA,TA,5,,TA,906,1040,384,11200
2006,7,Ex,Ex,9,Gd,Ex,998,2324,736,11924
2008,9,TA,TA,5,,TA,737,912,352,12968
2007,8,Gd,Gd,7,Gd,Gd,0,1494,840,10652
2008,5,TA,TA,6,Fa,TA,733,1253,352,10920
2007,7,TA,TA,7,,TA,0,854,576,6120
2010,3,TA,TA,6,TA,TA,578,1004,480,11241
2006,10,TA,TA,4,,,0,1296,516,10791
2008,6,TA,Gd,5,,TA,646,1114,576,13695
2009,5,TA,TA,5,,TA,504,1339,294,7560
2006,11,Gd,Gd,8,Gd,Ex,0,2376,853,14215
2007,6,TA,Gd,7,Gd,TA,0,1108,280,7449
2008,9,Gd,Gd,8,Gd,Gd,0,1795,534,9742
2007,6,TA,TA,5,TA,Gd,840,1060,572,4224
2010,5,TA,Gd,5,TA,TA,188,1060,270,8246
2009,7,Gd,Gd,8,Gd,Gd,0,1600,890,14230
2010,5,TA,Gd,5,,TA,234,900,576,7200
2010,5,Gd,Gd,8,Gd,Ex,1218,1704,772,11478
2006,12,TA,TA,5,Gd,TA,1277,1600,319,16321
2008,5,TA,Fa,4,,TA,0,520,240,6324
2008,7,TA,TA,4,,TA,0,1317,250,8500
2008,6,TA,Gd,5,,TA,0,1228,271,8544
2008,1,Gd,Gd,8,,Ex,0,1234,484,11049
2010,4,TA,Gd,5,Gd,TA,1018,1700,447,10552
2007,8,Ex,Ex,9,Gd,Ex,1153,1561,556,7313
2006,9,Gd,Gd,8,Gd,Ex,0,2452,691,13418
2009,6,TA,TA,5,,Gd,0,1097,672,10859
2009,10,TA,TA,5,TA,TA,1213,1297,498,8532
2010,1,TA,Gd,5,,TA,731,1057,246,7922
2008,6,TA,Fa,4,,,0,1152,0,6040
2006,12,TA,TA,6,TA,TA,643,1324,440,8658
2007,7,TA,TA,5,Gd,TA,967,1328,308,16905
2007,12,TA,Gd,5,,Gd,747,884,504,9180
2008,7,TA,TA,5,,Gd,280,938,308,9200
2006,5,TA,TA,5,,TA,179,1150,300,7945
2010,2,Ex,Ex,9,Gd,Ex,456,1752,576,7658
2009,8,Gd,Gd,7,Ex,Ex,1351,2149,670,12822
2007,7,Gd,Gd,8,,Gd,24,1656,826,11096
2009,6,TA,TA,4,,TA,0,1452,0,4456
2007,1,TA,TA,5,,TA,763,955,386,7742
2007,7,TA,TA,6,,Gd,182,1470,388,13869
2006,9,TA,TA,6,Gd,TA,0,1176,528,6240
2010,5,Fa,TA,5,,Gd,104,816,516,8472
2006,11,Gd,Gd,9,Gd,Ex,1810,1842,894,50271
2007,2,TA,TA,5,TA,TA,384,1360,572,7134
2008,7,TA,TA,6,Gd,TA,490,1425,576,10175
2009,8,Gd,Gd,8,,Gd,649,1739,480,2645
2006,8,Gd,Gd,7,,Gd,0,1720,565,11645
2006,10,Ex,Gd,10,Gd,Ex,0,2945,641,13682
